State Name,YEAR,Annual_Flood_Count,Average_Annual_Rainfall,Annual_Density_mm_per_km2
Sabah,2008,10,3976.843333333333,0.05401044849768892
Sabah,2009,11,3586.4033333333336,0.04870779064977161
Sabah,2010,1,3665.646,0.04978400402004591
Sarawak,2000,0,3103.5157142857142,0.024937852264248408
Sarawak,2001,5,2771.202857142857,0.02226760029845606
Sarawak,2002,1,2325.0457142857144,0.01868256901796476
Sarawak,2003,7,2925.52,0.023507593411008436
Sarawak,2004,0,2669.8228571428576,0.021452975951328706
Sarawak,2005,0,2657.648571428572,0.021355151236870807
Sarawak,2006,0,2668.4114285714286,0.021441634620903403
Sarawak,2007,0,2647.158571428572,0.021270860356999374
Sarawak,2008,3,3319.7214285714285,0.0266751420536073
Sarawak,2009,5,3263.7514285714283,0.026225403202663145
Sarawak,2010,4,2601.457142857143,0.020903633128623086
Terengganu,2000,0,2939.572142857143,0.22551378157707272
Terengganu,2001,4,3007.6142857142854,0.23073373883500464
Terengganu,2002,4,2060.4728571428573,0.1580723327305606
Terengganu,2003,5,2509.8585714285714,0.19254764644638062
Terengganu,2004,4,2095.554285714285,0.16076365828264558
Terengganu,2005,2,3071.996428571428,0.23567291358430595
Terengganu,2006,9,3590.7757142857145,0.2754718614718615
Terengganu,2007,5,2793.7228571428573,0.2143247301221985
Terengganu,2008,3,3117.365714285714,0.2391534878623486
Terengganu,2009,6,2829.0042857142857,0.21703139898076607
Terengganu,2010,9,2764.3214285714284,0.21206915447421776
